"CHR","geneID","start","end","annotation"
5,"Sevir.5G096400",7845399,7849101,"(1 of 5) PTHR24078:SF279 - DUPLICATED SANT DNA-BINDING DOMAIN-CONTAINING PROTEIN"
5,"Sevir.5G082600",6600913,6602150,"(1 of 3) PTHR10315//PTHR10315:SF33 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G080400",6415706,6419522,"(1 of 4) K02133 - F-type H+-transporting ATPase subunit beta (ATPeF1B, ATP5B, ATP2)"
5,"Sevir.5G084050",6725589,6729788,"No gene description."
5,"Sevir.5G083800",6699949,6705777,"(1 of 1) PTHR19856 - WD-REPEATCONTAINING PROTEIN  WDR1"
5,"Sevir.5G075300",6037623,6038480,"No gene description."
5,"Sevir.5G083600",6687900,6690770,"(1 of 1) PTHR22814//PTHR22814:SF108 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED"
5,"Sevir.5G086500",6947423,6948860,"(1 of 1) PTHR31304//PTHR31304:SF8 - FAMILY NOT NAMED // LOB DOMAIN-CONTAINING PROTEIN 41"
5,"Sevir.5G077100",6166890,6169835,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G083550",6674012,6674119,"No gene description."
5,"Sevir.5G073200",5892079,5896358,"(1 of 39) PTHR23155//PTHR23155:SF484 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED"
5,"Sevir.5G089300",7239670,7245544,"(1 of 1) PTHR23500//PTHR23500:SF118 - FAMILY NOT NAMED // PLASTIDIC GLUCOSE TRANSPORTER 4"
5,"Sevir.5G074600",5985577,5986873,"No gene description."
5,"Sevir.5G075900",6055097,6055357,"No gene description."
5,"Sevir.5G091600",7409508,7410405,"(1 of 117) PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G090350",7351202,7351336,"No gene description."
5,"Sevir.5G091400",7400750,7409033,"(1 of 31) PF00069//PF13947 - Protein kinase domain (Pkinase) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G089400",7245694,7252211,"(1 of 1) PTHR23131//PTHR23131:SF2 - METALLO-BETA-LACTAMASE RELATED // METALLO-HYDROLASE/OXIDOREDUCTASE SUPERFAMILY PROTEIN"
5,"Sevir.5G088000",7120786,7124204,"(1 of 1) PF11805 - Protein of unknown function (DUF3326) (DUF3326)"
5,"Sevir.5G081900",6546734,6552030,"(1 of 1) PTHR19241//PTHR19241:SF262 - ATP-BINDING CASSETTE TRANSPORTER // ABC TRANSPORTER G FAMILY MEMBER 7"
5,"Sevir.5G084566",6782341,6783306,"(1 of 2) PTHR13774:SF17 - PHENAZINE BIOSYNTHESIS-LIKE DOMAIN-CONTAINING PROTEIN"
5,"Sevir.5G091700",7410716,7412082,"(1 of 117) PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G091100",7395477,7396264,"(1 of 7) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G082900",6620396,6622122,"(1 of 4) PTHR10315//PTHR10315:SF46 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
